T,m,m1,m2,m4
0,-5e-05,1,1,1
0.02,-5e-05,1,1,1
0.04,-5e-05,1,1,1
0.06,-5e-05,1,1,1
0.08,-5e-05,1,1,1
0.1,-5e-05,1,1,1
0.12,-5e-05,1,1,1
0.14,-5e-05,1,1,1
0.16,-5e-05,1,1,1
0.18,-5e-05,1,1,1
0.2,-5e-05,1,1,1
0.22,-5e-05,1,1,1
0.24,-5e-05,1,1,1
0.26,-5e-05,1,1,1
0.28,-5e-05,1,1,1
0.3,-5e-05,1,1,1
0.32,-4.53125e-05,0.999993,0.999986,0.999973
0.34,-3.59375e-05,0.999984,0.999968,0.999937
0.36,-7.10938e-05,0.999958,0.999917,0.999838
0.38,-4.76563e-05,0.999893,0.999788,0.999585
0.4,-9.92188e-05,0.999816,0.999636,0.99929
0.42,0.000111719,0.999771,0.999548,0.999118
0.44,-7.8125e-05,0.999706,0.999419,0.998864
0.46,0.000355469,0.999493,0.998999,0.998047
0.48,1.32812e-05,0.999235,0.99849,0.997059
0.5,-0.000164844,0.998966,0.997959,0.996025
0.52,0.000517187,0.998574,0.997191,0.994543
0.54,-0.000270313,0.997943,0.995946,0.992127
0.56,-0.000113281,0.997331,0.994741,0.989789
0.58,1.5625e-05,0.996574,0.993252,0.986905
0.6,0.000228906,0.995296,0.990751,0.982114
0.62,-0.000865625,0.994001,0.988218,0.977262
0.64,0.000114062,0.99298,0.986215,0.973405
0.66,0.000899219,0.991183,0.982725,0.96681
0.68,-0.000335938,0.988775,0.978054,0.958003
0.7,5.07812e-05,0.98636,0.973378,0.949205
0.72,-0.000321875,0.982891,0.966699,0.93678
0.74,0.00041875,0.97907,0.959379,0.923297
0.76,-0.000919531,0.975783,0.953181,0.912162
0.78,-0.00111641,0.971708,0.94544,0.898121
0.8,0.00112891,0.964966,0.932883,0.876101
0.82,0.000974219,0.958216,0.920363,0.854167
0.84,0.00132812,0.950258,0.905803,0.829401
0.86,-0.00169297,0.939756,0.887435,0.799959
0.88,0.00127422,0.931145,0.872046,0.774933
0.9,-0.00286719,0.916311,0.846701,0.736033
0.92,-0.00157813,0.896891,0.814477,0.68835
0.94,0.00242734,0.873849,0.779094,0.641632
0.96,0.000585156,0.848713,0.739116,0.586647
0.98,-0.00390547,0.817715,0.694471,0.532355
1,0.00492344,0.771104,0.628697,0.456322
1.02,-0.000171875,0.725726,0.568161,0.389745
1.04,0.00262656,0.679926,0.508591,0.328981
1.06,0.00292187,0.6299,0.446257,0.26756
1.08,-0.000553906,0.571596,0.379601,0.210204
1.1,0.00243203,0.515786,0.317049,0.157594
1.12,-0.00630547,0.48612,0.284638,0.132168
1.14,-0.00306875,0.449649,0.246742,0.104135
1.16,0.00137031,0.421123,0.218184,0.0837398
1.18,-0.00242422,0.395981,0.195142,0.0693952
1.2,-0.00802344,0.373596,0.17534,0.0577219
1.22,0.00266172,0.353071,0.156949,0.0471126
1.24,0.00540391,0.337423,0.143547,0.0399106
1.26,-0.000792969,0.321435,0.128998,0.0319196
1.28,-0.00248516,0.307221,0.118994,0.0279622
1.3,-0.00669219,0.294892,0.108518,0.022547
1.32,-0.00170234,0.286891,0.103331,0.020681
1.34,0.000414062,0.280193,0.0980739,0.0185161
1.36,-0.00194844,0.274895,0.0958064,0.0180913
1.38,-0.00626094,0.262843,0.0876323,0.0154882
1.4,0.00404453,0.255436,0.0831903,0.0142255
1.42,-0.00515938,0.250057,0.0793636,0.0125834
1.44,0.00407734,0.239105,0.0732249,0.0109539
1.46,-0.00589063,0.2411,0.0738073,0.0108321
1.48,0.00232422,0.226845,0.0652536,0.0085343
1.5,-0.00578984,0.234239,0.0693772,0.00958487
1.52,0.00209922,0.231135,0.0673119,0.00879011
1.54,-0.00121953,0.227591,0.0652574,0.00825975
1.56,0.00428594,0.222031,0.0621029,0.00751499
1.58,0.00110781,0.219916,0.060948,0.00735366
1.6,-0.00475625,0.211611,0.0567956,0.0064754
1.62,-0.00159219,0.209984,0.0555133,0.00614337
1.64,-0.00515938,0.206493,0.0542169,0.00590975
1.66,0.000997656,0.207101,0.0540588,0.00572289
1.68,0.00412891,0.202062,0.0516815,0.00522312
1.7,-0.00279688,0.202095,0.0511124,0.00498853
1.72,-0.00350703,0.1972,0.0488614,0.00469439
1.74,0.00221875,0.201746,0.0518622,0.00535892
1.76,0.00911406,0.198627,0.0501275,0.00500159
1.78,0.00243672,0.197564,0.0489169,0.00461796
1.8,0.00684062,0.18392,0.0429637,0.00370963
1.82,-0.00814531,0.186226,0.043859,0.00374805
1.84,-0.0113445,0.185093,0.0429014,0.00351193
1.86,0.00405391,0.181381,0.0420216,0.00362681
1.88,-0.00547813,0.185783,0.0436927,0.00373866
1.9,-0.00355859,0.181957,0.0421178,0.00355763
1.92,0.00557031,0.177948,0.0400017,0.00316785
1.94,-0.0064625,0.179815,0.0401901,0.00309719
1.96,0.00278828,0.177607,0.0403341,0.00324848
1.98,-0.00631953,0.176876,0.0395028,0.00305753
