T,m,m1,m2,m4
0,-5e-05,1,1,1
0.02,-5e-05,1,1,1
0.04,-5e-05,1,1,1
0.06,-5e-05,1,1,1
0.08,-5e-05,1,1,1
0.1,-5e-05,1,1,1
0.12,-5e-05,1,1,1
0.14,-5e-05,1,1,1
0.16,-5e-05,1,1,1
0.18,-5e-05,1,1,1
0.2,-5e-05,1,1,1
0.22,-5e-05,1,1,1
0.24,-5e-05,1,1,1
0.26,-5e-05,0.999996,0.999993,0.999986
0.28,-4.94141e-05,0.999994,0.999988,0.999977
0.3,-5.17578e-05,0.999993,0.999986,0.999972
0.32,-4.70703e-05,0.999992,0.999984,0.999968
0.34,-5e-05,0.999975,0.999951,0.999903
0.36,-4.17969e-05,0.99995,0.9999,0.9998
0.38,-0.000187695,0.999917,0.999835,0.999673
0.4,0.000101172,0.999863,0.999727,0.999457
0.42,0.000258789,0.999769,0.999539,0.999084
0.44,9.35547e-05,0.999631,0.999264,0.998537
0.46,6.89453e-05,0.999425,0.998853,0.997721
0.48,-6.69922e-05,0.999236,0.998478,0.996978
0.5,-3.18359e-05,0.998911,0.997831,0.995696
0.52,-0.000120313,0.998445,0.996902,0.993854
0.54,0.000278711,0.99789,0.995799,0.991672
0.56,-0.000140234,0.997294,0.994613,0.989328
0.58,-0.000167773,0.996488,0.993012,0.986167
0.6,0.000891016,0.995486,0.991024,0.982252
0.62,0.000189062,0.99428,0.988634,0.977559
0.64,-0.0011,0.992696,0.985502,0.971436
0.66,-0.000369336,0.990752,0.981662,0.963947
0.68,0.000181445,0.989,0.97821,0.957239
0.7,-7.51953e-05,0.98635,0.973006,0.947203
0.72,0.000623242,0.983257,0.966946,0.935565
0.74,-0.00203516,0.979801,0.960215,0.922784
0.76,0.0013123,0.975971,0.952762,0.908667
0.78,-0.00062832,0.970826,0.942829,0.89013
0.8,0.000503125,0.965605,0.932787,0.871531
0.82,0.00315039,0.958583,0.919421,0.847255
0.84,0.000738672,0.950214,0.903643,0.819137
0.86,-0.00128047,0.941729,0.887806,0.79143
0.88,-0.00134258,0.928745,0.864021,0.751192
0.9,-0.0018125,0.915527,0.840099,0.711703
0.92,0.00176992,0.895431,0.804834,0.6566
0.94,-0.0036623,0.870103,0.762533,0.59494
0.96,-0.00169883,0.836714,0.710073,0.525538
0.98,-0.00204395,0.781688,0.629919,0.430303
1,-0.000273828,0.69267,0.513082,0.311671
1.02,0.00258437,0.568788,0.366122,0.18321
1.04,-0.000501758,0.471463,0.263945,0.108193
1.06,-0.00710176,0.383788,0.181473,0.0583766
1.08,-0.0097748,0.321121,0.131771,0.0344936
1.1,-0.000174219,0.283255,0.102229,0.0211613
1.12,0.000262891,0.248869,0.079246,0.0132581
1.14,0.00331504,0.230865,0.0675778,0.0092009
1.16,0.00618555,0.206002,0.0538977,0.0059165
1.18,-0.00518926,0.193609,0.0479673,0.00482949
1.2,0.00216953,0.183879,0.0429668,0.00372488
1.22,0.00231309,0.174665,0.0391405,0.00323528
1.24,0.00342637,0.15889,0.0322378,0.00219949
1.26,0.00295234,0.159462,0.0320922,0.00203013
1.28,0.00186895,0.151791,0.0292596,0.0017304
1.3,0.000696484,0.142887,0.0258256,0.00134476
1.32,0.0032043,0.144853,0.0261785,0.00129287
1.34,0.00157891,0.1374,0.0238538,0.00112394
1.36,0.00197559,0.135659,0.0232534,0.00106935
1.38,0.00372109,0.133979,0.0226538,0.00103543
1.4,0.00316562,0.125931,0.0202724,0.000835458
1.42,-0.00207734,0.125468,0.0198646,0.000771947
1.44,-0.00746504,0.124293,0.0197149,0.000787576
1.46,-0.00268555,0.119774,0.0181385,0.000644134
1.48,-0.00185938,0.118078,0.01784,0.000641035
1.5,0.00407383,0.116433,0.0171818,0.00058439
1.52,0.00276836,0.116241,0.0168353,0.000529198
1.54,0.00388047,0.11023,0.015348,0.000455777
1.56,0.00536934,0.112294,0.0158326,0.000482018
1.58,0.00296465,0.106275,0.0144981,0.000432556
1.6,-0.00280977,0.105777,0.0142443,0.000401955
1.62,0.000600391,0.0986071,0.0122574,0.000289048
1.64,0.00736797,0.106211,0.0143453,0.000416219
1.66,-0.0024752,0.102318,0.0132832,0.000338092
1.68,-0.0010707,0.101699,0.0132804,0.000364663
1.7,0.000360156,0.102307,0.0133671,0.000376798
1.72,0.0032916,0.0955784,0.0116231,0.000269693
1.74,-0.00500469,0.102373,0.0130083,0.00032315
1.76,0.00019082,0.0961986,0.0117652,0.000277405
1.78,-0.00014082,0.0931793,0.0111578,0.000250876
1.8,0.0053418,0.0925809,0.0106774,0.000214419
1.82,0.00866055,0.092289,0.0107752,0.000225679
1.84,-0.000879688,0.0942124,0.0113019,0.000256256
1.86,0.00269922,0.094102,0.0111428,0.000241039
1.88,-0.00576406,0.09448,0.0112554,0.000244456
1.9,0.00846309,0.0940845,0.0112873,0.000255505
1.92,0.00327109,0.0934341,0.0111372,0.000249703
1.94,0.00299219,0.0923503,0.0107732,0.000231184
1.96,-0.00552148,0.0905696,0.0103459,0.000213713
1.98,-0.00102383,0.0879274,0.00977533,0.000193023
